employee_key,employee_number,employee_name,job_title,store_code,active_flag,load_timestamp_utc,batch_id,source_system
0,UNKNOWN,Unknown Employee,,,0,2026-08-15T12:00:00+00:00,SYSTEM,SYSTEM
2008381844,EMP-00301,Alexis Clark,Store Manager,NY-NEW-01,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
19658864,EMP-00302,Arthur Ellis,Store Manager,MA-BOS-02,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1730939917,EMP-00303,Kyle Woods,Store Manager,PA-PHI-03,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1499355545,EMP-00304,Andrew Malone,Store Manager,VA-ARL-04,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1572565631,EMP-00305,Kendra Park,Store Manager,MD-BET-05,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1485370282,EMP-00306,Rachel Boyer,Sales Associate,NY-NEW-01,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
47288318,EMP-00307,Sherry Alvarado,Inventory Specialist,MA-BOS-02,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
120292384,EMP-00308,Christopher Gray,Inventory Specialist,PA-PHI-03,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
238228206,EMP-00309,Roger Malone,Sales Associate,VA-ARL-04,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
253917679,EMP-00310,Cory Walton,Sales Associate,MD-BET-05,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1848488672,EMP-00311,Andrew Walton,Sales Associate,NY-NEW-01,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
569013073,EMP-00312,Charlotte Ruiz,Sales Associate,MA-BOS-02,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1627569744,EMP-00313,Kelsey Flores,Sales Associate,PA-PHI-03,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
570015635,EMP-00314,Monica Lewis,Store Manager,VA-ARL-04,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1570779588,EMP-00315,Sarah Flores,Inventory Specialist,MD-BET-05,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
765552334,EMP-00316,Chad Walls,Sales Associate,NY-NEW-01,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1576146963,EMP-00317,Mitchell Johnson,Inventory Specialist,MA-BOS-02,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1324304037,EMP-00318,Vickie Arnold,Sales Associate,PA-PHI-03,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
622601068,EMP-00319,Traci Ross,Store Manager,VA-ARL-04,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
609360951,EMP-00320,Anthony Brooks,Sales Associate,MD-BET-05,1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
